County,ID,Future Congestion,Future Accessibility,Future Freight,Future Deliverability,Future Air Quality,Future Volume,Future Score,Current Congestion,Current Safety,Current Freight,Current Buffer Index,Current Equitable Target Areas,Current Air Quality,Current Accessibility,Current Score,BC 2015,BC 2040,Annual Benefit 2040,Annual Cost
Barrow,BA-005A,0.1036,0.4236,0.2609,0.26106,0.822943,0.2,33.261748,0.199906,0,1,0,1,0.082379,0.129623,32.414382,0.63,1.18,2.83,2836243.35
Barrow,BA-005B,0.1004,0.4738,0.2938,0.342435,0.823832,0.4,37.576832,0.199906,0.064503,1,0,1,0.09085,0.113675,33.147667,0.91,1.82,2.32,1276367.335
Barrow,BA-005C,0.103667,0.5232,0.2902,0.492714,0.852819,0.8,44.811435,0.216865,0.34891,1,0.061457,0,0.137974,   ,21.56527,0.25,2.04,2.36,1156364.94
Barrow,BA-005D,0.121333,0.5048,0.2738,0.686533,0.841994,0.1,39.49324,0,0,0,0,1,0.08531,   ,15.853098,0.94,3.34,4.8,1435696.776
Barrow,BA-008,0.261733,0.473,0.2577,0.791965,0.845466,0.5,47.855635,0.212427,0.00757,1,0.008817,0,0.107425,0.146929,18.4631,0.44,11.83,19.13,3497534.724
Barrow,BA-010,0.076067,0.531,0.2713,0.803825,0.855405,0.6,45.139327,0.312044,0.096601,1,0.18854,0,0.111183,   ,20.687122,-0.13,-0.89,-0.99,1102615.124
Barrow,BA-026,0.078533,0.5202,0.2456,0.470492,0.843625,0.8,43.176297,0.303979,1,1,0.37723,0,0.129128,   ,36.143161,-0.22,-0.52,-0.63,1528362.102
Barrow,BA-027,0.085067,0.489,0.2749,0.332561,0.839618,1,43.445873,0.280845,0.760971,1,0.298649,1,0.138172,   ,46.399684,-0.82,0.13,0.12,917468.5291
Barrow,BA-028,0.0778,0.5114,0.2773,0.470492,0.838701,0.9,44.177431,0.300572,0.539719,1,0.240801,1,0.126988,   ,42.785107,-0.62,-0.91,-0.74,806976.0418
Barrow,I85 North Widening,0.478533,0.473,0.063,0.762624,0.901637,0.4,51.961795,0.208978,0.029132,1,0.004964,0,0.133857,0.166271,19.330167,0.22,3.62,41.52,11461753.89
Barrow,St Rt 16 Interchanges,0.096867,0.473,0.2708,0.519767,0.83733,0.9,44.196624,0.299002,0.828061,1,0.28617,1,0.128363,   ,47.54628,-0.46,-0.05,-0.21,4355421.796
Barrow,West Winder Bypass,0.184467,0.462,0.2548,0.458394,0.818331,0.4,40.49091,0.200914,0.140237,1,0.003653,1,0.084479,0.115711,34.317382,0.21,1.6,11.98,7480878.709
Cherokee,CH-010A2,0.303933,0.4748,0.4434,0.700975,0.73991,0.7,50.530398,0.269011,0.061947,1,0.109932,0,0.113077,0.127927,21.09804,1.06,7.34,24.23,3298449.923
Cherokee,CH-020A2,0.323533,0.4798,0.7212,0.252205,0.52851,0.7,46.362697,0.247563,0.02395,1,0.130701,0,0.104187,0.049203,18.643461,1.49,2.06,27.44,15122039.95
Cherokee,CH-020A3,0.153933,0.4786,0.3904,0.6166,0.765882,0.9,47.141236,0.364559,0.070933,1,0.150924,0,0.120519,0.083475,22.739098,2.31,8.27,8.21,1156712.203
Cherokee,CH-020B,0.263533,0.4816,0.3983,0.220688,0.779854,0.4,41.833698,0.272467,0.026271,1,0.09794,0,0.112716,0.082796,19.605872,0.83,4.8,20.06,4539692.142
Clayton,Battle Zion,0.1026,0.4796,0.2939,0.70986,0.810568,0.8,45.264121,0.339135,0.083665,1,0.303802,1,0.161644,0.789956,53.491265,0.49,0.69,2.65,3839373.437
Clayton,CL-012,0.124667,0.5228,0.3502,0.733624,0.797381,0.4,43.608961,0.317803,0.087093,1,0.214533,1,0.155354,0.502545,46.412218,0.58,1.84,5.06,2903601.293
Clayton,CL-014,0.2006,0.4858,0.534,0.677963,0.660142,1,50.184766,0.281892,0.051337,1,0.230679,1,0.254076,0.379369,43.842842,3.38,8.3,13.75,1480428.644
Clayton,CL-015,0.169533,0.4788,0.3088,0.32714,0.791618,1,45.289662,0.286577,0.041896,1,0.170856,1,0.137471,0.256532,39.573895,1.89,4.87,9.87,2265232.364
Clayton,CL-017,0.075933,0.4982,0.2934,0.738644,0.825364,0.6,43.433892,0.350554,0.03614,1,0.365868,1,0.147733,0.847981,54.648826,1.32,-0.21,-0.26,1294403.213
Clayton,CL-019,0.103867,0.4696,0.2612,0.692885,0.798307,0.9,45.371461,0.332062,0.105702,1,0.265361,1,0.172034,0.77265,53.05373,0.84,1.31,2.71,2438219.165
Clayton,CL-041,0.239,0.5052,0.5829,0.357651,0.657525,0.7,46.068383,0.25286,0.058072,1,0.130075,1,0.097354,0.210723,37.417013,1.86,5.13,18.08,4247986.465
Clayton,CL-064,0.206733,0.4778,0.3314,0.617153,0.787027,0.7,46.437932,0.309357,0.155672,1,0.169714,1,0.154749,0.555141,47.869658,1.51,6.8,13.76,2292697.947
Clayton,CL-101,0.207667,0.4708,0.5739,0.36621,0.651861,0.5,42.179008,0.225622,0.01053,1,0.010435,1,0.091449,0.038005,31.449327,1.11,3.29,14.6,4247986.465
Clayton,CL-238,0.077667,0.469,0.2972,0.803825,0.827486,0.4,41.47755,0.347944,0.032917,1,0.161618,1,0.17303,0.404479,43.888689,0.27,-0.23,-0.16,632591.4645
Clayton,CL-AR-180,0.1126,0.7934,0.3567,0.472932,0.773226,0.8,51.107711,0,0,0,0,1,0.507645,   ,20.076448,1.07,1.1,3.18,2902505.918
Clayton,CL-AR-181,0.160733,0.597,0.2455,0.473868,0.754242,0.9,47.254315,0,0,0,0,1,0.50786,   ,20.078602,1.2,2.83,8.07,2869896.858
Clayton,CL-AR-247,0.212333,0.4692,0.3856,0.695608,0.711249,1,49.580814,0.289986,0.027814,1,0.144378,1,0.123152,0.331184,40.515916,2.05,6.21,14.75,2379839.523
Clayton,I85 Clayton,0.2916,0.4826,0.59,0.466411,0.59452,1,50.294915,0.284687,0.047316,1,0.194991,1,0.179967,0.307771,41.308478,2.46,6.36,23.82,3745661.008
Clayton,Jonesboro Rd,0.2836,0.4682,0.6388,0.277982,0.629909,0.5,43.82945,0.236123,0.014437,1,0.017873,1,0.093122,0.046488,31.978729,0.57,2.36,23.13,9813232.445
Clayton,South I75 CD Lanes,0.2054,0,0.3012,0.473212,0.703582,0.9,33.459848,0,0,0,0,1,0.483473,   ,19.834733,0.92,2.11,12.47,5918370.884
Cobb,AR-959,0.094333,0.4706,0.2676,0.470492,0.818274,0.5,39.250025,0.414619,1,1,0.118071,1,0.64598,0.549033,66.913557,0.74,1.9,1.52,746172.4976
Cobb,AR-960,0.143867,0.539,0.2258,0.470492,0.784178,1,46.516597,0.317499,0.099124,1,0.128923,1,0.818432,0.504242,52.395214,2.26,3.34,6.47,1933982.047
Cobb,CO-301,0.218733,0.4938,0.4082,0.089333,0.744215,0.7,42.045556,0.279175,0.013354,1,0.144229,0,0.098723,0.0604,19.421331,2.18,8.37,15.18,1719691.998
Cobb,CO-329,0.117067,0.4832,0.2915,0.233284,0.835702,0.4,37.375372,0.258031,0.037935,1,0.152387,0,0.090715,0.029861,18.757887,0.68,3.26,4.02,1298002.116
Cobb,CO-344A,0.083067,0.4722,0.313,0.304345,0.8075,0.3,35.582948,0.199906,0,1,0,0,0.072348,0.185952,18.440635,0.88,1.07,0.49,462738.3519
Cobb,CO-367,0.3152,0.482,0.4433,0.64867,0.707461,0.7,50.037618,0.314676,0.072371,1,0.161445,0,0.126761,0.173736,23.735864,1.61,6.19,25.76,4462835.152
Cobb,CO-450B,0.092333,1,0.2775,0.803825,0.856109,0.1,52.424883,0.163541,0.046717,1,0,1,0.24596,0,31.431188,0.61,1.12,22.55,1357016.598
Cobb,CO-AR-238,0.1486,0.7736,0.2874,0.44206,0.746375,0.5,47.288222,0.815169,0.186198,1,0.857057,1,0.611777,   ,58.784692,0.14,0.89,7.18,7875728.508
Cobb,SMY-01,0.233867,0.47501,0.3788,0.610009,0.901296,1,52.298774,0.291018,0.019464,1,0.233216,1,0.256785,0,36.012337,0.15,0.84,37.75,3305359.68
Coweta,CW-063,0.157533,0.4802,0.4504,0.348208,0.644195,0.6,40.380004,0.344048,0.052989,1,0.265456,0,0.091042,0.163895,24.51868,1.27,3.87,9.1,1397480.101
Coweta,CW-AR-003,0.127933,0.55,0.1744,0.240607,0.74063,0.7,39.847527,0.209742,0.054996,1,0.002306,1,0.055356,   ,30.596409,0.38,1.39,4.51,3237951.403
DeKalb,AR-958,0.1528,0.462,0.2526,1,0.790151,1,50.512262,0.233225,0.079539,1,0,0,0.528397,0.518833,31.518197,2.46,5.06,7.8,1710155.668
DeKalb,DK-030,0.1784,0.4888,0.341,0.646641,0.805507,0.5,44.531016,0.275684,0.110731,1,0.056178,1,0.176872,0.132677,37.158693,0.42,3.04,10.76,1077790.527
DeKalb,DK-065B,0.151,0.4868,0.4395,0.524946,0.713896,0.9,46.052895,0.312848,0.143677,1,0.156885,1,0.180155,0.102477,38.832051,1.54,5.23,8.2,1266023.317
DeKalb,DK-065C,0.084267,0.4746,0.2923,0.797415,0.794103,0.9,46.201696,0.328418,0.368318,1,0.183306,1,0.22759,0.110621,43.414507,0.96,0.59,0.59,1002169.424
DeKalb,DK-065E,0.080733,0.4782,0.2548,0.846577,0.82383,0.8,45.748217,0.326221,0.066466,1,0.365117,1,0.236339,0.141161,41.359181,0.52,0.09,0.15,1546178.287
DeKalb,DK-162,0.2224,0.5142,0.3162,0.830892,0.777493,0.5,47.66031,0.287336,0.042102,1,0.134544,1,0.183323,0.24737,39.504324,1.18,4.7,15.41,3281382.796
DeKalb,DK-327A,0.1206,0.5414,0.2859,0.450511,0.8471,0.1,38.223618,0.211013,0,1,0.011069,1,0.090898,   ,30.239929,1.58,6.82,4.39,643938.718
DeKalb,DK-328A,0.076733,0.5438,0.2974,0.952043,0.830842,0.1,41.854062,0,0,0,0,1,0.202257,   ,17.022566,0.17,-0.34,-0.19,551250.1341
DeKalb,DK-328B,0.076933,0.473,0.2861,0.958941,0.81232,0.1,39.768217,0,0,0,0,1,0.139132,   ,16.391316,0.14,-0.27,-0.08,287139.3552
DeKalb,DK-330,0.116533,0.458,0.2706,0.59776,0.856315,0.8,44.474322,0.234089,0.054024,1,0.00637,0,0.086021,0.133356,19.083153,1.21,4.09,3.98,972631.5759
DeKalb,DK-340,0.087,0.473,0.2915,0.798854,0.806638,0.4,41.438106,0.344424,0.056408,1,0.139616,1,0.185943,0.074313,37.476445,0.45,0.88,0.86,986294.8513
DeKalb,DK-341A,0.168533,0.4874,0.4609,0.716214,0.723431,0.6,45.863605,0.259544,0.033748,1,0.011355,1,0.155303,0.132677,35.017227,1.33,4.9,10.05,2050253.715
DeKalb,DK-401,0.182067,0.8212,0.0091,0.715599,0.945656,0.7,54.423827,0.489299,0.011476,1,0.721216,1,0.621723,   ,48.387521,0.69,1.21,9.31,7680149.577
DeKalb,DK-402,0,0.8134,0.3113,0.542318,0.872892,1,51.964557,0.246688,0.028199,1,0.110244,1,0.599976,   ,37.458949,-0.4,-3.19,-8.33,2744787.637
DeKalb,DK-AR-241,0.140333,0.471,0.3318,0.803825,0.737632,0.9,47.40574,0.488294,0.285986,1,0.253847,0,0.411929,0.213437,34.982179,0.3,1.24,6.46,5946436.28
DeKalb,Wesley Flakes,0.186,0.4862,0.4252,0.746842,0.744765,0.6,46.626894,0.259544,0.033748,1,0.011355,1,0.161502,0.113675,34.699162,0.86,3.89,11.82,3036548.567
Douglas,Chapel Hill,0.102067,0.4826,0.2616,0.663148,0.83153,0.6,42.847433,0.291535,0.064122,1,0.246875,0,0.074721,0.05531,21.114689,0.51,1.55,2.52,1621001.259
Douglas,DO-019,0.515267,0.1342,0.747,0.480678,0.74937,0.7,49.330331,0.259029,0.024012,1,0.07435,0,0.102724,0.662369,30.558867,4.81,21.24,46.79,2397875.993
Douglas,DO-220A,0.142667,0.4828,0.3769,0.369717,0.773104,0.6,41.412723,0.239662,0.063679,1,0.003957,0,0.10162,0.27282,22.260582,0.3,3.57,7.06,1974984.837
Douglas,DO-252A,0.0846,0.4766,0.3144,0.690753,0.816432,0.6,42.751012,0.274803,0.042384,1,0.244472,0,0.078657,0.028843,19.939954,0.55,0.62,0.72,1168946.98
Douglas,DO-252B,0.069533,0.4626,0.3069,0.596706,0.807248,0.5,39.795775,0.334464,0.131637,1,0.253041,0,0.070196,0.125891,24.414027,1.74,-2.14,-0.97,452054.2792
Fayette,East Fayetteville Bypass,0.146133,0.5098,0.6627,0.1941,0.584974,0.2,36.471603,0.215632,0.021107,1,0.00523,1,0.069462,0.143875,33.253664,0.73,2.24,8.58,3828144.739
Fayette,FA-085,0.086533,0.4726,0.3045,0.541828,0.816005,0.4,39.11435,0.310965,0.123949,1,0.1056,0,0.076339,0.117747,22.25287,0.97,1.61,0.79,2792666.55
Fayette,FA-235C,0.0754,0.519,0.3351,0.454525,0.800235,0.1,36.136781,0,0,0,0,0,0.039634,   ,0.396344,0.7,0.05,0.05,947502.4443
Fayette,FA-236A,0.147333,0.4972,0.6214,0.150863,0.619184,0.2,35.86039,0.234922,0.015982,1,0.011645,0,0.065678,0.148965,18.690706,1.48,3.65,8.44,2310793.242
Fayette,FA-236B,0.083933,0.4962,0.2825,0.267588,0.821539,0.2,34.746968,0.199906,0.026846,1,0,1,0.074678,0.141839,32.984382,0.2,0.58,0.61,1042149.55
Forsyth,FT-001A,0.1092,0.4794,0.2851,0.543789,0.800951,0.7,42.564146,0.321648,0.045978,1,0.281373,0,0.151849,0.062776,22.710368,1.28,5.83,3.26,559670.594
Forsyth,FT-001B,0.786533,0.4964,0.8451,0.681558,0.320666,0.8,64.082572,0.377551,0.011173,1,0.174894,0,0.151113,0.07601,22.498866,5.77,57.16,76.63,1511272.479
Forsyth,FT-001C,0.311667,0.479,0.3177,0.44751,0.801616,0.5,46.00133,0.273684,0.041976,1,0.294862,0,0.142456,0.048524,21.446969,2.52,13.15,24.85,2265634.657
Forsyth,FT-001D,0.219267,0.4938,0.3501,0.424532,0.805517,0.6,44.752066,0.249633,0.102083,1,0.009287,0,0.142546,0.090261,19.847463,0.48,6.48,14.97,2347933.884
Forsyth,FT-001E,0.325333,0.4858,0.3692,0.484543,0.78231,0.7,49.177084,0.226021,0.055814,1,0.003567,1,0.115759,0.036308,32.27705,1.25,22.61,26.46,1170355.894
Forsyth,FT-008B,0.4642,0.4932,0.6223,0.68012,0.520442,0.7,54.086824,0.235173,0.05346,1,0.007661,1,0.126557,0.160502,35.057577,1.25,13.43,42.21,3284340.954
Forsyth,FT-030,0.516267,0.483371,0.6335,0.53011,1,0.8,62.208373,0.248676,0.035918,1,0.007788,0,0.129427,0,16.884437,6.66,22.08,68.64,2749759.255
Forsyth,FT-061A,0.4364,0.483,0.3268,0.21993,0.901544,0.6,50.157466,0.235794,0.0433,1,0.08447,1,0.11767,0.036987,33.126513,0.58,7.55,37.94,5384440.033
Forsyth,FT-086,0.2452,0.48108,0.3788,0.434439,0.851833,0.5,45.29288,0.218612,0.011861,1,0.179889,0,0.092338,0,17.272423,1.6,17.31,38.99,1040618.106
Forsyth,FT-306B,0.194133,0.4778,0.4862,0.775313,0.728126,0.7,48.306024,0.323542,0.27126,1,0.451103,1,0.105989,0.087547,42.861601,1.35,17.26,31.78,1817578.919
Forsyth,FT-313,0.2542,0.4738,0.4826,0.238261,0.677801,0.9,45.846632,0.270823,0.044751,1,0.179384,1,0.135427,0.026807,34.771966,0.25,1.87,19.49,11087279.56
Forsyth,FT-324,0.429133,0.466714,0.742,0.460181,1,1,61.563669,0.41274,0.003349,1,0.192675,0,0.22982,0,22.529981,2.06,5.91,59.02,6148644.022
Forsyth,St Rt 20 North: East of 575,1,0,0.8918,0.250118,0.537619,0.8,57.483459,0.266964,0.039286,1,0.12113,1,0.119118,0.047167,34.274379,0.5,4.72,109.46,23201001.07
Forsyth,St Rt 20 North: Whole,1,0.48,1,0.250707,0.151249,0.7,63.775801,0.261587,0.034328,1,0.123782,1,0.114458,0.047845,34.08598,0.65,3.3,137.87,41827438.46
Forsyth,St Rt 9,1,0.4872,1,0.505966,0.063035,0.7,65.185189,0.300393,0.035353,1,0.189235,0,0.150654,0.182559,23.588223,1.2,11.8,165.97,14065362.53
Fulton,ALP-02,0.109733,0.481937,0.2959,0.471415,0.858022,0.9,44.883897,0.356532,0.032148,1,0.182144,0,0.244266,0,21.876943,3.56,5.63,24.35,590198.7839
