ID,county,total_cost,benefit_2015,benefit_2040,bc_2015,bc_2040,current_congestion,current_safety,current_freight,current_reliability,current_eta,current_air,current_access,current_score,future_congestion,future_access,future_freight,future_deliverable,future_air,future_volume,future_score
ALP-02,Fulton,8000000,2100000,3320000,3.56,5.63,0.36,0.03,1,0.18,0,0.24,0,21.88,0.11,0.48,0.43,0.47,0.86,0.9,46.2
ATL-04,Fulton,2550000,490000,-1990000,3.38,-13.57,0.3,0.02,1,0.15,1,0.24,0,35.13,0.06,0.48,0.43,0.73,0.85,0.9,47
Buckhead-01,Fulton,15600000,1680000,790000,1.76,0.82,0.52,0.14,1,0.47,0,0.37,0,30.86,0.09,0.5,0.45,0.8,0.86,1,50.4
Buckhead-05,Fulton,22800000,540000,-300000,0.41,-0.23,0.41,0.18,1,0.36,0,0.39,0,28.44,0.08,0.47,0.4,0.7,0.84,1,47.65
CO-450B,Cobb,21630000,830000,1520000,0.61,1.12,0.16,0.05,1,0,1,0.25,0,31.43,0.09,1,0.41,0.8,0.86,0.1,53.79
FT-030,Forsyth,40000000,4410000,47610000,1.6,17.31,0.25,0.04,1,0.01,0,0.13,0,16.88,0.52,0.48,0.71,0.53,1,0.8,62.96
FT-086,Forsyth,10470000,1370000,17970000,1.35,17.26,0.22,0.01,1,0.18,0,0.09,0,17.27,0.25,0.48,0.5,0.43,0.85,0.5,46.49
FT-324,Forsyth,39720000,8910000,37990000,1.45,6.18,0.41,0,1,0.19,0,0.23,0,22.53,0.43,0.47,0.8,0.46,1,1,62.16
HE-01,Henry,8670000,2610000,18770000,3.26,23.4,0.26,0.03,1,0.01,0,0.16,0,17.32,0.25,0.48,0.54,0.62,0.94,0.7,52.24
HE-02,Henry,7500000,1200000,6100000,1.83,9.31,0.27,0.09,1,0.07,1,0.07,0,33.15,0.13,0.48,0.44,0.66,0.89,0.6,46.53
PA-036C,Paulding,29710000,290000,1610000,0.15,0.84,0.2,0.03,1,0,0,0.06,0,15.04,0.09,0.48,0.45,0.39,0.85,0.2,37.9
RO-243,Rockdale,22100000,930000,1380000,0.69,1.02,0.2,1,1,0,0,0.12,0,30.15,0.09,0.39,0.46,0.73,0.79,0.3,39.17
SMY-01,Cobb,42050000,8130000,16720000,2.46,5.06,0.29,0.02,1,0.23,1,0.26,0,36.01,0.23,0.48,0.5,0.61,0.9,1,53.49
NE-003,Newton,31450000,1670000,2280000,0.8,1.09,0.27,0.02,1,0.02,1,0.07,0.01,31.7,0.1,0.47,0.44,0.66,0.84,0.4,42.49
HE-126B,Henry,18000000,1330000,5530000,0.74,3.07,0.24,0,1,0,0,0.06,0.01,15.7,0.13,0.47,0.44,0.27,0.83,0.3,38.37
